State,Postcode,No_Individuals,Total_Taxable_$,Total_Donation_$
VIC,3113,5567,423758962,1578329
VIC,3114,2554,231377668,941017
VIC,3115,2754,223956219,643164
VIC,3116,6780,396398716,742449
VIC,3121,22349,1827002331,7314856
VIC,3122,16695,1774186385,32669179
VIC,3123,9861,957584374,4772985
VIC,3124,15209,1428006219,24403614
VIC,3125,8560,463893133,1690581
VIC,3126,5591,715563612,8048476
VIC,3127,12766,1168494400,7219591
VIC,3128,12570,651097626,1873139
VIC,3129,10468,636794522,2123777
VIC,3130,19986,1269998832,7297336
VIC,3131,13546,760655083,2668053
VIC,3132,10448,644405062,3016878
VIC,3133,13923,791568601,2925194
VIC,3134,20874,1278316694,3419119
VIC,3135,11993,700049477,2380412
VIC,3136,27129,1536635324,3774782
VIC,3137,8361,454234726,936656
VIC,3138,13469,739017608,1573982
VIC,3139,8751,468830734,975656
VIC,3140,10403,583314278,1143392
VIC,3141,18844,2002311005,36630249
VIC,3142,10219,2011266386,116464665
VIC,3143,6901,736857700,5003333
VIC,3144,8066,1038256250,10436031
VIC,3145,14631,1375739369,6768599
VIC,3146,17050,1644176075,7102824
VIC,3147,9068,696111013,2560186
VIC,3148,5774,326940680,703964
VIC,3149,21875,1325477613,4643010
VIC,3150,38047,2222362268,7151449
VIC,3151,6267,318659026,1257748
VIC,3152,21450,1184434605,3818914
VIC,3153,12341,644578007,1353395
VIC,3154,2698,150968792,311352
VIC,3155,13550,700616481,1694533
VIC,3156,23589,1364885640,3283665
VIC,3158,4364,248638004,627619
VIC,3159,1609,96470061,225193
VIC,3160,5681,339639478,792650
VIC,3161,10955,1072581102,14264574
VIC,3162,12016,1004354070,6354753
VIC,3163,21065,1345778298,3338103
VIC,3164,84,6231283,7376
VIC,3165,16873,1095837743,2017930
VIC,3166,14527,867044183,1948321
VIC,3167,5714,317410592,607585
VIC,3168,10331,439531818,852742
VIC,3169,11415,534525848,959207
VIC,3170,11339,629433966,1581796
VIC,3171,11810,480985866,924339
VIC,3172,13251,656742769,1243485
VIC,3173,15970,842008065,1418163
VIC,3174,20905,890552655,1800182
VIC,3175,27920,1242392809,2734769
VIC,3177,5412,222015791,474541
VIC,3178,21681,1251150605,2780330
VIC,3179,3710,200140737,518491
VIC,3180,4589,241719940,541904
VIC,3181,14875,1195347830,3280381
VIC,3182,17848,1337950335,10665593
VIC,3183,12871,900205324,6160108
VIC,3184,11059,976681763,7509014
VIC,3185,8976,828402061,16799504
VIC,3186,16921,2326386938,15746740
VIC,3187,10286,1071746576,3355878
VIC,3188,11302,1107678039,3338091
VIC,3189,3969,243147795,850299
VIC,3190,7023,480866611,890682
VIC,3191,6856,662734810,9231375
VIC,3192,14321,908868276,6967889
VIC,3193,13483,1240760684,5542868
VIC,3194,8916,586457689,1258606
VIC,3195,22563,1545456897,3295298
VIC,3196,15569,958047577,1689450
VIC,3197,7416,491187110,853553
VIC,3198,9750,523624551,1034910
VIC,3199,31566,1713428263,3721854
VIC,3200,2387,101485316,198266
VIC,3201,12340,635296187,1163603
VIC,3202,1678,107795198,212144
VIC,3204,19883,1384030067,2925091
VIC,3205,8033,714889180,5013208
VIC,3206,7137,1018466348,23355749
VIC,3207,11629,1187710624,5403936
VIC,3211,783,51949452,62427
VIC,3212,9787,575662445,1099903
VIC,3213,1908,115347427,191161
VIC,3214,10125,439733037,823356
VIC,3215,11942,651593550,1572508
VIC,3216,34817,1918467195,4956953
VIC,3217,6373,369436065,684101
VIC,3218,8411,617318887,1466066
VIC,3219,10931,536036670,1265347
VIC,3220,11194,869233439,13945640
VIC,3221,1977,141237260,493054
VIC,3222,8975,478964853,951768
VIC,3223,4200,215439704,639972
VIC,3224,8302,425743522,951694
VIC,3225,2884,174135309,3692197
VIC,3226,9443,551015346,1311992
VIC,3227,3209,227049533,697845
VIC,3228,12606,824937805,1680307
VIC,3230,1742,92414751,517614
VIC,3231,860,49305284,199634
VIC,3232,781,48249726,130872
VIC,3233,1366,59361931,503643
VIC,3234,110,7457727,38849
VIC,3235,256,10938673,34417
VIC,3236,163,6642796,25844
VIC,3237,124,3601817,4588
VIC,3238,168,6573406,26419
VIC,3239,255,10492549,15535
VIC,3240,1321,78046042,157782
VIC,3241,1607,79888418,150047
VIC,3242,614,27360202,57118
VIC,3243,247,10934884,56542
VIC,3249,2223,96759229,228528
VIC,3250,7170,343222849,846006
VIC,3251,339,15439859,32914
VIC,3254,179,7410978,15991
VIC,3260,2739,121742031,235550
VIC,3264,1383,61989633,87766
VIC,3265,1506,67956282,84531
VIC,3266,1779,74833626,139606
VIC,3267,175,5563838,10830
VIC,3268,1720,71470538,96673
VIC,3269,460,24862285,23657
VIC,3270,156,8086844,15226
VIC,3271,133,4873939,7589
VIC,3272,804,34457202,70903
VIC,3273,91,4906686,9750
VIC,3274,157,7677305,5194
VIC,3275,272,13122311,16869
VIC,3276,297,13727448,15659
VIC,3277,1151,61512857,97726
VIC,3278,169,7683589,12738
VIC,3279,199,9701100,17078
VIC,3280,19411,972034877,1995314
VIC,3281,1093,56368052,74581
VIC,3282,1600,77232989,139657
VIC,3283,742,36985688,50175
VIC,3284,2095,106271675,298106
VIC,3285,719,36747252,87770
VIC,3286,350,16652296,15495
VIC,3287,269,11053142,11066
VIC,3289,463,21065456,54501
VIC,3292,108,4300717,16142
VIC,3293,197,8496308,12921
VIC,3294,605,26796540,79683
VIC,3300,5995,278721217,855358
VIC,3301,762,35007359,278532
VIC,3302,247,18281517,16605
VIC,3303,201,9751040,13907
VIC,3304,1495,68054974,85751
VIC,3305,7256,381217086,722527
VIC,3309,64,2332031,4022
VIC,3310,142,6455789,12534
VIC,3311,910,39499631,72550
VIC,3312,521,24226537,24772
VIC,3314,359,21669494,28395
VIC,3315,975,61784162,91330
VIC,3317,109,5521517,5663
VIC,3318,734,33085075,44944
VIC,3319,231,11102260,8411
VIC,3321,1040,59451840,90607
VIC,3322,104,4914104,6356
VIC,3323,76,4085213,1002
VIC,3324,315,15026249,16045
VIC,3325,283,11344681,10477
VIC,3328,1097,59638526,165879
VIC,3329,159,6133023,19050
VIC,3330,136,6905780,10338
VIC,3331,3830,213375961,384145
VIC,3332,656,34704343,50592
VIC,3333,502,25972549,131784
VIC,3334,361,19082414,48791
VIC,3335,2829,150537115,307213
VIC,3336,3151,201880027,346528
VIC,3337,20425,1035534433,2135766
VIC,3338,13700,702362657,1601254
VIC,3340,12928,747353476,1422819
VIC,3341,1001,60286087,127761
VIC,3342,2049,145130818,254127
VIC,3345,773,45405782,106420
VIC,3350,35288,1981251634,6831025
VIC,3351,4786,236887081,596396
VIC,3352,9784,542837788,1162592
VIC,3353,226,11731174,45809
VIC,3354,215,13604667,21429
VIC,3355,6134,285543895,599661
VIC,3356,7781,341526052,560478
VIC,3357,2330,139437771,328424
VIC,3358,730,37424734,54140
VIC,3360,391,17920396,41487
VIC,3361,341,15374324,14827
VIC,3363,1849,91954306,158723
VIC,3364,1194,57167158,184046
VIC,3370,887,37635471,58523
VIC,3371,487,19870330,36718
VIC,3373,1222,53297225,93909
VIC,3374,192,9022441,12298
VIC,3375,131,5525041,7015
VIC,3377,4979,232940330,552044
VIC,3378,107,4892845,6380
VIC,3379,391,18739661,34936
VIC,3380,3492,155925116,292629
VIC,3381,717,30950966,91192
VIC,3384,316,11982681,8655
VIC,3385,283,11570761,33828
VIC,3387,206,9983508,9763
VIC,3388,354,18299206,53494
VIC,3390,525,24326911,68235
VIC,3391,84,3845900,7835
VIC,3392,300,13783152,84763
VIC,3393,1416,71303052,96397
VIC,3395,256,14267402,13771
VIC,3396,426,20303269,73663
VIC,3400,8408,398352747,1109358
VIC,3401,2723,133741156,262492
VIC,3402,331,19021113,161672
VIC,3407,270,13774491,63411
VIC,3409,607,26915967,64512
VIC,3412,182,8534759,40718
VIC,3413,120,5030112,2575
VIC,3414,889,43080451,51411
VIC,3418,1667,80830359,186042
VIC,3419,573,26718123,48680
VIC,3420,160,8125758,9934
VIC,3423,185,8699198,13837
VIC,3424,421,20697371,38415
VIC,3427,2198,124466631,183834
VIC,3428,391,30366800,40514
VIC,3429,22607,1306099572,2568373
VIC,3430,196,13576696,15186
VIC,3431,2553,154879826,426295
VIC,3432,123,7166243,9609
VIC,3433,133,8000811,21938
VIC,3434,3221,193880855,365122
VIC,3435,1694,96647371,256446
VIC,3437,6771,457374565,1090991
VIC,3438,1356,95014391,259406
VIC,3440,1226,99054416,201863
VIC,3441,903,78717834,749964
VIC,3442,4639,316732474,1287404
VIC,3444,5503,303633487,1035612
VIC,3446,615,33074268,75510
VIC,3447,294,13779724,28371
VIC,3448,543,29214675,74671
VIC,3450,3955,191951174,1133993
VIC,3451,2712,134165494,4416574
VIC,3453,1028,53961895,160437
VIC,3458,1206,64403735,293283
VIC,3460,1658,80591164,627272
VIC,3461,2334,111193424,263934
VIC,3462,668,29807266,66093
VIC,3463,1318,59650302,134135
VIC,3464,597,25969388,39716
VIC,3465,4453,184696063,377004
VIC,3467,616,26452327,31909
VIC,3468,151,5944394,11560
VIC,3469,130,5420662,12014
VIC,3472,624,23059392,60855
VIC,3475,163,6064910,4304
VIC,3477,436,18362685,24872
VIC,3478,1342,56324299,145349
VIC,3480,1019,40290323,82573
VIC,3482,92,3023882,2267
VIC,3483,537,25619367,63830
VIC,3485,160,7055125,13548
VIC,3487,55,2535352,951
VIC,3488,66,2937255,2570
VIC,3490,728,31328373,48113
VIC,3491,74,4660385,1111
VIC,3494,330,13957967,11392
VIC,3496,3570,158208023,194120
VIC,3498,2881,142215938,234649
VIC,3500,16568,796102888,1338426
VIC,3501,1991,107269874,146550
VIC,3502,1206,62432603,193781
VIC,3505,2622,118872365,143760
VIC,3507,84,5413250,5940
VIC,3509,156,7997457,10179
VIC,3512,211,8690722,12992
VIC,3515,1209,62298870,98802
VIC,3516,425,20716338,21717
VIC,3517,676,28942883,32485
VIC,3518,603,24264839,34989
VIC,3521,381,18677950,16305
VIC,3522,182,8148998,13142
VIC,3523,1756,79740393,135839
VIC,3525,745,31367207,51052
VIC,3527,426,17713925,19404
VIC,3529,85,4010269,9767
VIC,3530,78,3635689,4065
VIC,3531,120,5962891,16090
VIC,3533,396,18362761,25782
VIC,3537,613,27551684,46100
VIC,3540,161,7922012,22587
VIC,3542,115,4595901,3791
VIC,3544,145,5855183,5806
VIC,3546,262,11695932,11048
VIC,3549,1945,93715507,171463
VIC,3550,22945,1205056736,4563337
VIC,3551,18955,1040665474,1842334
VIC,3552,231,13894325,30002
VIC,3554,84,4785355,4578
VIC,3555,10737,503819771,1143305
VIC,3556,6970,313798128,440136
VIC,3557,446,22472630,13972
VIC,3558,491,22655931,24416
VIC,3559,289,12123198,15903
VIC,3561,2566,115140233,137528
VIC,3562,170,7609919,12487
VIC,3563,449,17333693,32213
VIC,3564,9731,480954371,1033031
VIC,3565,52,2079024,2426
VIC,3566,306,12699494,21917
VIC,3567,377,15026875,15181
VIC,3568,1594,77633667,93018
VIC,3570,411,18324390,62794
VIC,3571,200,7482762,11575
VIC,3572,158,8290843,15444
VIC,3573,184,7551371,7448
VIC,3575,449,18083922,22512
VIC,3579,2884,121326317,248328
VIC,3580,577,21299283,18800
VIC,3581,109,4148261,3746
VIC,3583,99,3806986,8781
VIC,3584,582,23425494,21284
VIC,3585,6966,345600811,611807
VIC,3586,258,11856896,14415
VIC,3588,198,8451151,9655
VIC,3589,181,9536257,7676
VIC,3590,181,8259618,11209
VIC,3591,103,4915991,5197
VIC,3594,351,14693904,10001
VIC,3595,302,11791218,15909
VIC,3596,65,4914426,1388
VIC,3597,244,16594717,9482
VIC,3599,79,4107405,7973
VIC,3607,60,2988083,4609
VIC,3608,1446,71569096,95800
VIC,3610,760,33667845,46233
VIC,3612,843,38113937,56692
VIC,3614,582,30086440,42366
VIC,3616,3118,146146591,320664
VIC,3617,93,3290724,13095
VIC,3618,371,14500516,18056
VIC,3619,118,5004633,28125
VIC,3620,4506,198992876,590093
VIC,3621,1281,52802447,78178
VIC,3622,211,8477621,27709
VIC,3623,510,20953831,20138
VIC,3624,293,11843812,21532
VIC,3629,4958,217560744,541904
VIC,3630,16802,794725181,3089366
VIC,3631,7380,391818526,777107
VIC,3632,304,15133294,14549
VIC,3633,431,19893529,25715
VIC,3634,1159,49096214,70813
VIC,3635,300,11600883,21790
VIC,3636,2943,123991040,230560
VIC,3637,335,11815264,15310
VIC,3638,1155,50029822,121433
VIC,3639,293,11473858,9815
VIC,3640,628,25453762,25122
VIC,3641,685,29550455,48795
VIC,3644,4896,230657136,303487
VIC,3646,361,16122588,28774
VIC,3649,266,10194508,8281
VIC,3658,3504,182542431,936159
VIC,3659,427,24342475,142656
VIC,3660,3970,188575983,1296065
VIC,3661,135,6471573,50152
VIC,3662,502,30798847,34898
VIC,3663,107,5627102,10410
VIC,3664,663,34122136,387509
VIC,3665,203,9727176,16327
VIC,3666,2750,123749484,481655
VIC,3669,791,32821963,113176
VIC,3670,334,14208839,1077650
VIC,3671,88,3957290,4908
VIC,3672,5542,255399588,655839
VIC,3673,1116,49669866,94913
