ABN,Charity_Legal_Name,State,Postcode,Charity_Size,Operates_in_VIC,PBI,Preventing_or_relieving_suffering_of_animals,Advancing_Culture,Advancing_Education,Advancing_Health,Promote_or_oppose_a_change_to_law__government_poll_or_prac,Advancing_natual_environment,Promoting_or_protecting_human_rights,Purposes_beneficial_to_ther_general_public_and_other_analogous,Promoting_reconciliation__mutual_respect_and_tolerance,Advancing_Religion,Advancing_social_or_public_welfare,Advancing_security_or_safety_of_Australia_or_Australian_public,Aboriginal_or_TSI,Adults,Aged_Persons,Children,Communities_Overseas,Early_Childhood,Ethnic_Groups,Families,Females,Financially_Disadvantaged,Gay_Lesbian_Bisexual,General_Community_in_Australia,Males,Migrants_Refugees_or_Asylum_Seekers,Other_Beneficiaries,Other_Charities,People_at_risk_of_homelessness,People_with_Chronic_Illness,People_with_Disabilities,Pre_Post_Release_Offenders,Rural_Regional_Remote_Communities,Unemployed_Person,Veterans_or_their_families,Victims_of_crime,Victims_of_Disasters,Youth
11552612368,International Full Gospel Fellowship Gereja Injil Seutuh International Victoria Inc,VIC,3066,Small,,,,,,,,,,,,Y,,,,,,Y,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,Y
11552937411,THE TRUSTEE FOR THE SILBERSCHER FAMILY FOUNDATION,VIC,3121,Large,,,,,,,,,,,,,,,,Y,Y,Y,,Y,Y,Y,Y,,,,Y,,,,,Y,,,,,,,,Y
11563991556,St Mary's School,VIC,3032,Small,Y,,,,Y,,,,,,,Y,,,,,,Y,,,,Y,Y,,,,Y,,,,,,Y,,,,,,,
11586072130,Holy Eucharist and St Mary's Malvern East,VIC,3145,Medium,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
11603044950,Lyric Opera of Melbourne Inc,VIC,8007,Small,Y,,,Y,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,Y
11607342399,Uca - West Hawthorn,VIC,3122,Small,Y,,,,,,,,,,,Y,,,,Y,Y,,,,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,,,Y,,,,Y
11614286896,Health Assist Limited,VIC,3149,Medium,Y,Y,,,,Y,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,Y,,,,,,,,
11616062714,Australian Catholic Safeguarding Limited,VIC,3000,Large,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,,
11618758491,IMOVE AUSTRALIA LTD,VIC,3207,Large,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
11622458986,NAMAL Australia Ltd,VIC,3023,Small,,Y,,,Y,,,,,,,,,,,Y,,,Y,,,,,Y,,,,,,,,,,,Y,,,,,Y
11626010556,Kalbarri Kindergarten Inc.,VIC,3305,Small,Y,,,,Y,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,
11635644874,Our Lady Help Of Christians Primary School East Warrnambool Victoria,VIC,3280,Large,Y,,,,Y,,,,,,,Y,,,Y,,,Y,,,,,,,,,,,,,,,Y,,,,,,,Y
11637998880,Bass Coast UC Ltd,VIC,3995,,Y,,,,Y,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,Y,,,,,Y
11642254064,Novar Musculoskeletal Research Institute Ltd,VIC,3350,,Y,,,,,Y,,,,,,,,,,Y,Y,,,,,,,,,Y,,,,,,Y,,,,,,,,Y
11645211310,WALKING INDEPENDENT LTD,VIC,3550,,Y,Y,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
11648685928,One Hundred & Seventy Nine Napier St Hostel Assoc Inc,VIC,3205,Large,Y,Y,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,
11664573841,Warrnambool Church Of Christ,VIC,3280,Medium,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
11669377120,Heidelberg Christian Centre Inc,VIC,3083,Small,Y,,,,,,,,,,,Y,,,,Y,Y,Y,,Y,,Y,,,,,,,,,,,,,,,,,,Y
11672316253,Coptic Orthodox Church Diocese Of Melbourne,VIC,3111,Large,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
11678438622,Breakwater Preschool Centre Inc,VIC,3219,Small,Y,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,
11682476849,Greek Orthodox Archdiocese Of Aust East Keilor Ladies Auxiliary,VIC,3033,Small,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
11726042246,Newbold Ministries Inc,VIC,3083,Small,Y,,,,,,,,,,,Y,,,,Y,Y,,Y,,Y,,,,,Y,,,,Y,,,,,Y,,,,,Y
11727363928,Australian Association Of Constitutional Law,VIC,3053,Small,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,,
11743131513,Uca - Wedderburn Parish,VIC,3518,Small,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11753464251,East Brunswick Kindergarten and Childcare Centre Incorporated,VIC,3057,Large,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,
11758002459,The Trustee For Montgomery Foundation,VIC,3144,Small,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,Y,Y,,Y,,,,,
11767448857,The Trustee For The Geelong Grammar Library Fund,VIC,3214,Small,Y,,,,Y,,,,,,,,,,Y,,,Y,,Y,,,,,,,,,,,,,,,,,,,,Y
11771658320,Divine Seed Fellowship Inc,VIC,3630,Small,Y,,,,,,,,,,,Y,,,,,,,,,,Y,Y,,,,Y,Y,,,,,,,,,,,,
11772492733,The Australian Baby Box Project Inc.,VIC,3166,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11773286290,Korumburra Rsl Sub-Branch,VIC,3950,Small,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,,
11795377992,Anglican Parish Of Yarrawonga,VIC,3730,Small,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
11812664143,The Trustee For The Grail Movement Of Australia,VIC,3930,Small,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
11832585277,Clifton Hill Baptist Church,VIC,3068,Small,Y,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
11834526491,Lowther Hall Library Trust,VIC,3040,Small,Y,,,,Y,,,,,,,,,,,,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,
11846675799,Rights Employment Accommodation Leisure Real Inc,VIC,3109,Small,Y,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,
11852749072,Roman Catholic Trusts Corp For The Diocese Of Ballarat,VIC,3350,Small,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,
11853802385,Aztem Inc,VIC,3130,Small,,,,,Y,,,,,,,,,,,Y,,,Y,,,Y,,,,Y,,,,,,,,,,,,,,Y
11863933034,The Big Umbrella,VIC,3008,Small,Y,Y,,,,,,,,,,,,,,Y,,,,,,,Y,Y,,,Y,,,,Y,,,,,,,,,
11868616092,Windarring Limited,VIC,3444,Large,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
11869022895,Hastings Assembly Of God Inc,VIC,3915,Medium,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
11869057704,St Eleftherios Monastery of Mt Athos Foundation,VIC,3000,Small,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,
